#file	Good_sequences	Good_mean_length	trim_qual_right	min_len	lc_method
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_4_R2.fq.gz	  223,504,317 (94.40%)	  128.98	  6172502	  7093846	  4779
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_6_R2.fq.gz	  190,599,385 (96.31%)	  128.93	  3174012	  4115824	  3012
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_7_R1.fq.gz	  184,965,014 (95.69%)	  140.06	  4390469	  3941645	  1024
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_7_R2.fq.gz	  186,014,511 (96.23%)	  131.14	  3426040	  3854440	  3161
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/C088EACXX_8_R2.fq.gz	  190,617,320 (96.26%)	  130.15	  3320865	  4074115	  3627
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D08CWACXX_7_R1.fq.gz	  139,172,798 (97.00%)	  138.37	  1487996	  2812339	  1338
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D08CWACXX_2_R1.fq.gz	  176,093,165 (96.17%)	  139.16	  2509170	  4495372	  2110
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D0G2RACXX_2_R1.fq.gz	  125,757,588 (98.03%)	  144.83	  1273052	  1248691	  901
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D0G2RACXX_8_R1.fq.gz	  180,225,539 (96.10%)	  142.09	  3343720	  3970723	  1829
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D08CWACXX_4_R1.fq.gz	  187,516,538 (95.48%)	  137.60	  3689941	  5194978	  1515
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D08CWACXX_1_R2.fq.gz	  174,687,221 (94.79%)	  141.07	  7523319	  2073855	  2608
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D08CWACXX_7_R2.fq.gz	  135,745,442 (94.61%)	  138.80	  5869411	  1857741	  1877
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D0G2RACXX_6_R1.fq.gz	  163,954,446 (96.92%)	  142.93	  2758274	  2443465	  1338
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D0G2RACXX_8_R2.fq.gz	  181,407,078 (96.73%)	  137.15	  2654088	  3477413	  3232
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D08CWACXX_4_R2.fq.gz	  185,660,381 (94.53%)	  139.54	  8089880	  2650718	  1993
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D08CWACXX_5_R1.fq.gz	  138,871,140 (96.94%)	  137.54	  1556837	  2827158	  1717
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D0G2RACXX_4_R1.fq.gz	  217,992,512 (93.95%)	  138.88	  6950409	  7074972	  1770
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D08CWACXX_6_R2.fq.gz	  126,449,886 (94.68%)	  138.64	  5421806	  1686193	  1646
/genesis/extscratch/spruceup/interior_spruce/PG29/data/reads/Fastq/D08CWACXX_6_R1.fq.gz	  129,567,282 (97.01%)	  138.08	  1387701	  2603141	  1407
