"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"18842",260.175678403917,-3.82862545583501,0.333248627677036,-11.4887958654866,1.50190776479751e-30,4.52275986008276e-28
"9101",394.132574200881,-3.63423956671845,0.318085066525856,-11.4253699691464,3.12322637059648e-30,9.26679636075803e-28
"1726",3915.07509284585,2.26166824126869,0.198067922315403,11.4186497986646,3.37435459500647e-30,9.86680845055806e-28
"6931",2301.76370052056,6.22135183361822,0.545107257750316,11.4130783348841,3.59767562113582e-30,1.03695290474338e-27
"14655",371.86336285876,6.26936506665009,0.549610672001767,11.40692018191,3.86161010716271e-30,1.0973499369312e-27
"7281",104.967844895167,-5.25152073476235,0.460454701170248,-11.405075724964,3.94433908814669e-30,1.10529146447844e-27
"8342",1370.41132881206,7.5791440138527,0.668234033625036,11.3420502884855,8.1218994711063e-30,2.24475950313754e-27
"23016",344.48957138474,6.77849736307221,0.607166096914725,11.1641565586694,6.10680585088997e-29,1.66501236280481e-26
"13347",2912.21273488559,-2.76273523485242,0.248575514227387,-11.1142694140227,1.06922210897437e-28,2.87635003608892e-26
"14520",553.243862089467,3.43203189939132,0.311599354465457,11.014245858368,3.2625727411903e-28,8.66127205608626e-26
"1416",277.841677311417,4.09515087015582,0.371960971570305,11.0096251573582,3.4342957645528e-28,8.99874692800225e-26
"7412",139.604383502337,6.98941623277779,0.635389075566165,11.000214674056,3.81223277118096e-28,9.86097543478809e-26
"12058",1318.1720815845,-2.56274455824481,0.233922168531786,-10.9555437790693,6.25018477393008e-28,1.59624972150397e-25
"5418",410.815268264279,-1.50141226998099,0.137709862880934,-10.9027214069565,1.11860691966866e-27,2.82112665140435e-25
"16403",628.5306599918,3.09328750221872,0.2855123802218,10.8341624269172,2.37125400736875e-27,5.90647171020641e-25
"7264",638.703544448671,-2.77564437121357,0.257279117800455,-10.7884557244415,3.90292578869488e-27,9.6031013064278e-25
"3207",996.629116998631,9.84559235654312,0.912772636720755,10.7864674733399,3.98826352025652e-27,9.69484394996332e-25
"8256",4610.50232471664,5.26656569308853,0.488426940999373,10.7827092467761,4.15465580415165e-27,9.97908756006709e-25
"13776",15928.3381128023,11.0176337358692,1.0242597304804,10.7566795881955,5.5120577219345e-27,1.30836795997354e-24
"7237",214.967839991328,-2.59646392888417,0.241863660171761,-10.735237889976,6.95396351269992e-27,1.63143218409574e-24
"22315",4502.80617995079,6.20869505558829,0.580515573499819,10.6951395259859,1.07258102461639e-26,2.48740169570807e-24
"23778",3092.35924833154,8.88561473921871,0.832198314344878,10.6772803862426,1.30025136189337e-26,2.9811217588137e-24
"22018",147.886921486187,-6.01573374587439,0.566157590384797,-10.6255463991672,2.26680788473009e-26,5.13877706542858e-24
"19596",189.64047478521,-2.38470630363068,0.225255942701457,-10.5866521212772,3.43663873807919e-26,7.70418035327619e-24
"3099",2200.6977186038,3.47378911141181,0.328588833167123,10.571841647598,4.02511518670779e-26,8.92425538538641e-24
"23747",7120.29650285693,2.77484995386157,0.26285473419913,10.5565911236715,4.73547568487419e-26,1.03851040671763e-23
"11413",85.4290865694522,-5.99562843973944,0.568828872123696,-10.5403025998927,5.63173964210322e-26,1.22178472063521e-23
"9129",142.702982946055,3.04127240094659,0.288873906621389,10.5280273892395,6.41649902827594e-26,1.37722642972867e-23
"748",6497.19756230764,5.92868705665194,0.563962989151944,10.5125463384879,7.56236384702139e-26,1.60608687344741e-23
"16250",3649.86032584991,1.86953181836359,0.17799254424022,10.5034276932435,8.32993087077346e-26,1.75067380467422e-23
"14488",1516.8196740329,2.52217522463629,0.240380363484807,10.4924345236532,9.35854354556889e-26,1.94657705747833e-23
"13912",1601.61578462189,-3.6740903428862,0.351034380648233,-10.4664686578605,1.23151757120053e-25,2.53541821597366e-23
"13396",7556.32304215451,1.9291866348616,0.184610795592451,10.4500206971671,1.46493255705943e-25,2.98550295669e-23
"14796",66150.4246531984,2.32951849729956,0.223083256707848,10.4423726445339,1.58791456763712e-25,3.20377643166465e-23
"10972",4962.68530507206,8.14083785132567,0.779813578693002,10.4394666542868,1.63727981214921e-25,3.27066905840816e-23
"18185",307.856555256563,6.63636170635221,0.635780946075705,10.4381261302568,1.6605615577147e-25,3.28465588122077e-23
"17119",1627.5910360025,3.69942428775171,0.354447590141734,10.4371545769924,1.67763993124355e-25,3.28621973327862e-23
"10254",2214.16559580544,-2.16677369653348,0.207967520028347,-10.418808168882,2.03487091864202e-25,3.94764958216551e-23
"6800",30702.8493217754,1.50919702964646,0.144906915569393,10.4149413691973,2.11928128215937e-25,4.04201187983641e-23
"12304",121.646905722264,-4.19305205064887,0.402607130400622,-10.4147486073495,2.12357880284823e-25,4.04201187983641e-23
"21932",1455.12655460261,4.3973252773139,0.422519948828198,10.4073790823588,2.29451784871586e-25,4.32656001081227e-23
"23900",159.515375173402,5.24257311001377,0.505503868583786,10.370985141422,3.3604234240119e-25,6.2777687965615e-23
"8011",2144.19743828565,4.50563267501838,0.435028026447683,10.35710897022,3.88528099673022e-25,7.19169076972743e-23
"14444",7896.67486800703,2.14033546654029,0.207075375579066,10.3360211737153,4.84226846230612e-25,8.88160077231711e-23
"11750",96547.6050774039,7.05370006092148,0.685713935842092,10.2866511707381,8.09426545856879e-25,1.46255477668354e-22
"21967",2786.81519707562,4.18985435853826,0.407321423049362,10.2863589328826,8.11886077461125e-25,1.46255477668354e-22
"6818",5653.10359885422,-2.89937599493085,0.282597207125157,-10.2597475198924,1.06986097557677e-24,1.91022257019795e-22
"12925",2984.00429008326,1.48323359059719,0.144595396305119,10.2578202937204,1.0914249730598e-24,1.93163072425041e-22
"7539",100.808461746189,-6.88194315370967,0.671120635913893,-10.2544055203104,1.13069598583223e-24,1.98373236610009e-22
"7510",500.699632008698,-2.390375666517,0.234239804470836,-10.2048226684488,1.88665477800952e-24,3.28147817251035e-22
"8163",1000.45735588899,4.01809891221204,0.394407052722324,10.1876953885024,2.25035590722269e-24,3.88061374223291e-22
"15643",5758.91534157329,3.639475157195,0.357811891581723,10.171476250011,2.65848505584283e-24,4.54555885480381e-22
"10510",355.400895307278,-2.20483383183406,0.216944647382667,-10.1631169905979,2.89664881026106e-24,4.91115852065774e-22
"7693",195.122297263694,-3.34218609376174,0.329017532143791,-10.1580790299682,3.05026917541608e-24,5.12851924026623e-22
"19737",326.034654031737,-3.15201431303683,0.310428450106149,-10.1537546315713,3.18854911259861e-24,5.31670800791649e-22
"6272",585.554328589604,-1.66858431797479,0.16437196810277,-10.1512705434758,3.27077143540263e-24,5.40910528530192e-22
"4539",521.433694324632,6.05443712362418,0.596769311245229,10.1453560187116,3.47508981338544e-24,5.70027740446053e-22
"1753",6112.95726332616,2.80493010785455,0.276841404915069,10.1319024468723,3.98813386051523e-24,6.4890797394964e-22
"4837",86.8494215441296,-2.56895611476313,0.253828777761267,-10.1208229319817,4.46644308489142e-24,7.20919645446155e-22
"23050",80.7346630707413,-3.64021769394144,0.360041430383062,-10.110552249691,4.96038698020231e-24,7.94291807242555e-22
"22312",79.0576687060786,6.65821311309405,0.659870935233963,10.0901748471969,6.10606586768418e-24,9.70047125562173e-22
"5511",427.854489224003,3.8681797194002,0.383911156462588,10.0757158375968,7.07437553918181e-24,1.11509844436353e-21
"20195",144.476150285525,-3.16718119028876,0.314814348716592,-10.0604727935701,8.26007014846116e-24,1.29190058383994e-21
"15634",1258.32946708499,10.2223034510769,1.01680666163357,10.0533403613368,8.88051112853608e-24,1.3782553271488e-21
"3365",6054.89182504137,1.97089648902492,0.196506166161381,10.0296928464134,1.12867159431344e-23,1.73832657151664e-21
