"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"10800",693.409290997987,5.9638418800516,0.975949639761015,6.11080903878605,9.91273218557016e-10,9.61584585661233e-07
"8340",23623.6174443037,1.88107312070573,0.311558951039706,6.0376153996808,1.56408303574249e-09,1.44498928459238e-06
"17293",87.734624050803,4.76467384575568,0.791371080836984,6.02078337347933,1.73574934539548e-09,1.53069422954626e-06
"19340",144.37252074333,3.68739801281403,0.614422897863051,6.00140070566823,1.95622557299411e-09,1.65011879746342e-06
"23195",77.9028634954158,-3.29605624782593,0.563520300403635,-5.84904615763629,4.94399892467148e-09,3.99660513073131e-06
"15028",541.149965419848,0.736106916903407,0.128210920132561,5.74137457357241,9.3911103764851e-09,7.2878772965675e-06
"3484",107.074126685279,3.73733169914997,0.654298652204083,5.71196606711678,1.11678359985499e-08,8.33335331568716e-06
"15634",207.957262005312,4.71348964757906,0.83080164371148,5.67342359425561,1.39971545492668e-08,1.00577331633454e-05
"1827",198.167476373323,-4.45899000239235,0.788668454645294,-5.65382065952897,1.56919943371929e-08,1.08728707905671e-05
"12489",121.588779956578,-3.78467540874167,0.672642391261297,-5.62657878526639,1.83818850661505e-08,1.22974811092547e-05
"15647",500.191254019882,-2.88702915769613,0.515994829344126,-5.59507381375467,2.20527925916326e-08,1.42615409690088e-05
"14264",218.121672838512,4.35519643404004,0.781705611029309,5.57140229338426,2.52697069061655e-08,1.553471654095e-05
"15085",9.48741310103397,6.83597078948599,1.22750778787738,5.56898364067151,2.56229539359003e-08,1.553471654095e-05
"22385",60.765379471963,-3.90658843205519,0.70280603559304,-5.5585584559739,2.72011858842442e-08,1.59918244648552e-05
"16549",633.367621821974,4.40528537203123,0.804943775597282,5.4727864300366,4.4301389533674e-08,2.52791546571414e-05
"10164",95.7884192934698,-4.07750423412917,0.751129659701647,-5.42849584151527,5.68309698106263e-08,3.15022184370274e-05
"15355",69.9315646984851,-2.71179154841245,0.504022021344022,-5.38030370415405,7.43602821511172e-08,3.84853967863259e-05
"8106",61.5566461912053,-1.84265666005127,0.34262284776398,-5.37809043406413,7.52800034908795e-08,3.84853967863259e-05
"13995",798.628299941958,-2.4527813784979,0.456486320106746,-5.3731760853739,7.73617142510058e-08,3.84853967863259e-05
"23166",118.324286430316,4.90723529573114,0.913284647710603,5.37317177950211,7.73635624280558e-08,3.84853967863259e-05
