gene.x gene
900079 5081431
9299478 10903580
9300221 892267
7153693 5155944
6784460 5156008
7748148 11058090
9251200 5155931
9247808 6486668
7714709 5156111
7715845 5156177
7598662 5156208
9224917 5156126
7068691 11058028
7748073 5156081
4526769 6982076
9184681 6981651
1367795 6982145
7722247 6981808
6846167 6981562
7723465 8725300
6771406 6897548
6559922 8625777
7168691 4854434
7362673 6902306
9223629 1956604
9283969 6982127
9254886 966119
6449988 6232190
7084752 6896982
9301581 6981996
9297862 7954724
9247617 6981692
6755080 6982137
7115278 6893231
7657435 6232131
7676782 6981742
6845784 6981723
9275771 7954722
7650521 6981950
6812906 6894631
9209533 6981972
942093 6895797
9182957 6981797
9297776 6896667
7086556 1411992
6850216 6893595
7636147 6142505
9297199 6981911
7071142 6981953
6828851 2037823
9133892 6982198
9267372 6981860
7125913 7954723
7729103 6981596
7656747 6981864
9173645 6160597
1978383 6981623
6849255 6982077
9260858 6893481
7165294 6981657
7721751 8625736
9163858 6893119
6825084 7954613
1532114 6981888
9257558 6934189
9137958 6981544
7592633 6981954
6815812 6982018
9295315 7954601
7727535 6982012
9140447 8725340
7086734 6982075
9299824 6981934
4930885 6981770
7133386 8613247
121041 6982178
7639695 6981528
4630017 6981749
9161144 6981652
7116418 6895525
9142243 6982074
6787783 6981800
6849615 6981622
6787383 6982100
7728245 6899734
9277143 6981919
7090050 7954737
9301563 6982107
7108704 22801
7051550 6981732
7748033 6901510
9132162 6982004
7129538 6982036
6805540 6981733
7659448 6898456
4428833 678930
7731400 6982099
7586202 6898176
4071046 6982140
7726258 6981726
9299721 6981796
9299606 6981799
7705976 6982171
9173940 6981870
7167098 6981674
6736317 6981952
9131005 6981569
6834981 6899489
7638574 6232093
9298940 6981829
6736362 7954639
6756887 12878855
6792869 1143348
9233739 6982136
3775848 6898640
1444957 6894294
9298349 6981714
9299297 6981865
7740502 6982035
9251629 6982166
9185629 8625731
9165949 827554
9135227 6982039
9271033 6923473
7114447 6981791
9269302 6898285
7622956 1488058
7697879 6981816
9266146 8604993
9259732 6981962
9299629 6981538
1334439 6981718
6818635 6232098
7591123 6981793
7670916 6894194
9217385 6981903
89697 6895939
7081991 6905536
7698154 6894898
6754533 1491701
6843224 6981664
6849339 6897566
7115246 6981677
6739610 6981993
7749623 1189623
9246903 6982029
7678973 6981752
9251157 6898061
9300420 6981784
7746384 6232197
9249213 6981973
9230088 6981959
9220299 6982003
6829516 6981624
6843217 6981581
7016261 6981694
7666551 6982032
6782955 7954615
6758335 6981840
9280221 6900784
6702083 6981700
6843505 1365849
7704515 6982070
7667503 6917294
7619984 6981980
9300384 6981873
7627070 6982009
7021613 7858992
9253488 6981881
9296385 6981729
5752183 937716
9252877 6898350
7595149 6981541
9301034 6894003
9186506 6897798
7654566 7954700
9298439 6981754
7088180 6981665
7061805 6895911
7670189 6904666
9208722 6982050
7748484 6909307
6797913 6981649
9192345 6982043
7750717 6981716
9268944 6982164
7026878 960330
9204774 6981913
7751440 6981691
7695145 6981819
7166418 6981787
9214989 6981573
9140385 6981967
7110766 6981620
6714065 6981876
7726410 6981783
7599381 6982220
6848265 6897204
6828696 1208913
7084883 6981515
7725786 6982131
9187361 6982000
9301243 6901295
7063343 6903695
6849206 6893450
9297975 6981875
9133402 6982133
9272539 470303
9131623 7954628
7149702 6914308
9189162 6981895
872642 6904619
7164776 6894217
6777302 6982098
9297948 6982122
6849440 6894982
9140348 6895687
6748695 841697
7135572 6893038
7726717 6981670
9297524 6232137
7704502 6896194
7748789 6981790
6750207 6982034
9132955 6142441
9133214 6982135
9299872 6981597
7164881 6981619
7747896 6981518
9132862 7954690
6848843 6981555
9300456 6982028
7141959 6909978
7022802 6903723
7708457 6981634
4637253 6982230
9297536 6981628
9301855 8510184
6743991 6981598
7160081 6187547
9280591 6982020
6749136 6893757
7641685 6904118
7748245 6895541
9298436 6981854
9141508 6896531
9137263 6898027
7701136 6930663
9298841 6232196
7042539 7854401
9130275 6901506
6712234 7954620
1261354 6981869
6713674 6981693
9236752 6981725
6799674 6982112
7166374 6982204
7594964 6982086
6757929 6982148
7156487 6981600
7657544 6981574
9181155 6982146
7622672 6895923
7026844 6982223
9206727 269441
9195863 6981861
9299490 6981886
7722594 6895340
7070085 6982163
9245141 6982067
9301344 6981666
7107422 6895407
7681919 6902383
7749608 6897817
6793095 6901843
9290076 6981763
5194438 6982015
7751859 6981966
9281816 6981991
9223574 6981794
9300478 6981955
7107217 6981890
9276652 6981589
7749708 1001165
7650523 6981858
7729054 6981715
2849088 1855887
7657018 6981804
9301468 6232095
8946762 6981617
7598583 6981580
7102103 6982224
9298859 6982030
6702629 6893743
9218799 6914063
7093153 6894833
9300357 6981557
9277058 6143241
7734097 6981781
9167197 6982116
9203147 6895535
7113002 6896870
7146836 6899374
6732423 6981830
9134780 6981900
9262203 6981958
7697678 6981803
4496643 6981534
9297971 6232113
2171131 6893547
7675304 6981768
9274057 8625836
3322057 6982158
7732347 6981537
9185870 6981554
9283960 6982055
7075906 6981708
9162486 6908151
2076615 6897312
5645883 6981618
7709604 6982065
7751947 6981951
9268439 6982037
7024188 6899463
7752018 2364538
2660664 12710563
9299028 6907704
9296240 6893421
7165574 6982057
7061674 6981883
4695025 12744277
7692823 6982154
8460944 6982134
7262205 12721048
7155609 6981894
7669810 6981676
7091130 6981760
9299498 8625537
7155992 6982102
9289652 6981681
6734516 940016
9258537 7954606
9221001 6981607
7118922 6982014
6775019 1726649
9267963 6982001
5689866 6894889
7751235 6981748
7698042 6981625
7672950 6143099
7676165 6932781
7588540 6894768
6822872 6902516
2272967 4394749
6756782 6982095
9135883 6982156
7753824 6981745
7019070 6901928
7020898 6981683
7693447 6982078
6731409 1002048
7121509 6981720
7764706 7954685
7056151 6893987
6750725 6981659
9134220 7954728
9299844 6981987
8518704 6982115
9289885 6981730
6746708 6982162
9142201 6982072
9300003 6981899
7675802 6981527
7628179 6981627
7678914 6981933
6702926 7954604
7684634 6896135
7642781 6982011
6797921 6982019
7111391 6895803
6712803 6981682
6825504 6981872
6739071 6900980
7116988 6981920
9299484 6981741
7698131 1168804
9272137 6982186
7166635 6152152
7597979 12705622
590547 7854078
9206708 6981916
6889474 6981759
7596277 6893676
7749749 6981727
7689962 6981689
7630626 6981812
9299833 6896612
9138658 6981908
6444647 6982066
9236838 8583168
9299979 340485
9217943 4364006
6777597 4364126
7748712 5793766
9222402 4363787
9249062 4364167
7623209 4306143
9298502 5715985
7162682 4308618
6848131 4293766
7698726 4364295
7696933 4296125
7727125 4364098
7165738 8550715
1318884 4364410
7620135 6573010
7588369 4758240
9297635 4363911
6228475 2411502
6779097 4364007
9299262 4364032
9251249 6332163
6743230 4364196
7150105 4363867
7081516 4363880
6786194 4364139
7746245 4364371
7747693 4363801
9300453 4363841
9203179 4364502
4349056 4363793
9297326 4293883
7624342 5715913
9301311 924245
7750816 4363865
9162819 993708
6849767 4363862
9299216 4364230
9289617 4364059
7727276 4363768
7668325 4294317
6801135 4364268
7165188 5715829
7685294 5715941
9252307 4363945
9300326 4364451
9237012 5704650
9298772 4364388
7593894 4294265
9178617 4363762
7748366 4364396
9220120 5715948
7053076 4364205
6060494 4363850
7594255 4364325
9223377 4363842
6849784 4363893
7656257 4364092
7748123 4294297
9236421 4364418
7100114 4364455
9191206 4297267
7063605 4363763
6813735 4364267
6789085 4295652
6848296 4307411
9294615 4364218
6776911 4364198
9300590 1493117
7110300 4364309
7166182 4305372
7106946 4364069
3256915 4363960
9218674 4293876
9301530 325922
9248466 4363946
7748117 4296536
7022592 4364407
7650882 4296778
7671880 5715953
9300053 4304972
9134323 4363816
9231003 654545
9299042 5699941
7660666 4364233
7750608 5715842
6850165 4363770
7104532 6474671
3333069 4363921
6706702 1299506
6747533 6573097
9180876 4296466
9229244 1340181
9256799 8583167
9197190 4364503
9299710 4363915
7056059 4363954
9270222 4364376
6795510 4364019
9242596 4364044
3439017 4364156
6812389 4363831
6829954 4302426
6804104 10102227
1671744 6876001
9178622 4672320
5846584 4672453
6839530 6875937
7740897 4672263
7025985 4672357
6770158 776851
7751421 6875919
6817066 1214580
9246295 5631776
9199234 4672369
9283723 6604181
9234342 5169198
9265291 4597603
6849192 4595575
6751488 589142
9282394 4672397
9141385 4672188
9292860 4672683
7018003 5246373
9212346 4672183
9212346 4672183
9298719 4597962
9290375 4600225
7131630 4672755
5752165 4672731
6848626 4672232
7645922 4594023
7055555 4672208
6050346 4599310
7744845 1535473
9210144 4602204
7725027 3613718
9257733 723344
7748040 4672426
7142095 4672442
9217474 4672589
9300380 10100527
9275981 4672318
9281271 4672440
9136352 4672758
9246566 4597512
7074287 5731868
942772 4600681
7631446 4672317
9231282 4672246
7715326 4672200
7118810 6781115
9283353 434255
9299820 4672621
9133297 504955
7599109 4672483
9142680 4597992
9208877 4672342
5207870 6512144
9231628 4672264
9211907 4672288
6792029 4672716
7751907 4672274
4956447 11454324
6847430 485652
6799271 6772230
6845386 4672414
7958480 1744831
7622855 4672808
7750914 4594754
7018003 4594385
7165284 4672362
9238419 1344825
9131880 4672735
9282263 4672630
9189475 4672651
9175700 4672777
7750664 4593675
9255102 4672775
9302751 1154973
9173137 4672646
2351848 4594715
6774670 4600396
7682485 4672684
6819234 4672444
9249453 4672352
9265755 6504023
7080766 4672424
9227000 4672689
7239798 772341
6709422 4672712
7749402 5731824
6458278 625448
6458278 4596114
9212346 4672183
9299076 4672503
2334380 4672411
7738068 6875973
9298012 1239410
7711704 4672284
7664866 11609626
6752123 4672307
7094626 4672363
9257759 4600187
6706270 4672278
9211317 4672833
6775226 4672259
7681707 4672375
7683462 4599888
6893926 4596199
9222925 4600808
5071911 11609628
9173277 4672467
935919 607539
1863263 4597303
9208794 4672699
6845854 11609605
6843658 4672231
9300382 4672831
7589436 6875959
9300458 1158769
7043739 6799979
9177340 4601022
7588981 4600437
7663740 4672761
9298887 4672416
9268096 4597610
5302398 4596119
6784064 1385092
9130397 4599407
6714127 4613180
9300230 4672463
2940583 6875956
6795105 6876078
9184165 4672360
7646828 4672229
7739266 1188007
9137295 1216034
7668996 4672645
6813262 6876096
6788035 11461062
7753587 6773775
6752695 4672750
4000176 4597135
7641515 1128966
7123702 4672641
9265740 4672540
9268392 6507024
9299306 4672271
9289386 1047047
7075638 4672535
6848481 4672703
1839825 4597379
9143815 4672797
7125035 4600157
804257 1102727
7083626 6875929
7619955 5731820
9133043 4672661
7721611 4672346
7157549 4593967
9284302 151718
7629681 4604013
7107653 4672329
7740445 4672386
6763839 6604172
7160182 4672365
9300789 4672539
7165996 4672409
9132599 4672215
7671899 4598028
9297782 4672410
9288456 4672521
6846290 4594478
7751958 4672784
7686180 4599586
7731163 4672476
7631279 4672207
8050726 4672460
9198142 4610980
9133546 831693
9298967 696216
7662151 4672216
6731616 4672210
7698660 4672517
6849012 4672692
7045714 4672211
9303866 4672177
7099719 4608473
7786094 4672639
9299689 4604067
7598163 4672524
9240490 4598010
7587724 4672917
6812268 4594243
6766767 4672479
7654639 909434
6783457 1019232
7156919 5166339
7658232 4672218
9272663 4672789
7588328 2298152
9171902 6783249
7629145 4672572
7147625 11458527
6780535 4672312
9293947 4596054
9140880 4672347
677412 6876071
677412 6876071
7166575 6604169
6771293 11450904
9190569 4596143
2346465 4672374
7750466 4672227
94296 531741
9250069 6781857
9235291 4672610
6830914 4672612
5811915 4600510
6776414 51064
9174690 6604210
9298567 4599222
4381295 6508604
550054 5653016
9277935 4672297
9275421 4598988
9219985 4672523
7154747 4672469
9135159 4672301
2832077 4672262
7654879 4672482
9186629 4594911
3379797 4672596
9209042 6774328
7749873 1958864
7062131 4672502
7594805 10098500
6848253 4672566
9142540 4672507
6798193 4672254
7151553 4672795
6849842 1536311
7692905 4672403
9212961 4672806
6496275 4672435
7722579 4672491
6817879 4672623
3558295 2834457
7727976 4672511
9193056 4672356
7593751 5246367
7112583 4672533
2871070 4672778
7083520 4672618
9176740 4672514
6855745 5246319
7632696 4607905
9131283 4672816
9130242 6604185
1132131 4598077
7691312 6875965
7751799 4672213
6713909 4648655
6817887 6774480
6846301 4600289
9299690 4672431
6815508 5731797
9139897 4594517
7165537 4672552
7098869 4594651
7713359 5160025
369788 4596558
7159647 11609625
6792891 4672344
9163943 226441
9300387 5246323
6760108 6545656
7646372 4672871
7644782 4672611
7687339 4672583
9176017 6604257
7624491 111511
