gene.x gene.y
7645922 3872062
7055555 3260226
6050346 2986045
7744845 3052576
9210144 3025081
7725027 3721823
9257733 3551173
7748040 3680983
7142095 4559705
9217474 3093281
9300380 3364876
9275981 3288827
9281271 3289148
9136352 3364393
9246566 3034858
7074287 3260288
942772 2914766
7631446 4296188
9231282 3364514
7715326 2846162
7118810 3455699
9283353 3575527
9299820 4296252
9133297 397938
7599109 3958300
9142680 4458954
9208877 3230838
5207870 3522634
9231628 3011548
9211907 3575895
6792029 3919077
7751907 3051832
4956447 3052398
6847430 3957626
6799271 3957460
6845386 2958665
7958480 3092612
7622855 3751196
7750914 4286296
7018003 3261031
7165284 2846353
9238419 1643690
9131880 3575593
9282263 3575905
9189475 3497747
9175700 2915331
7750664 3260245
9255102 3758313
9302751 3287653
9173137 2914841
2351848 3958101
6774670 2942506
7682485 2986148
6819234 3870072
9249453 4463618
9265755 3287779
7080766 3208433
9227000 3213171
7239798 3751114
6709422 3385861
7749402 3051742
6458278 3092806
6458278 3092806
9212346 4479007
9299076 3286572
2334380 3289009
7738068 3092849
9298012 3665288
7711704 2981858
7664866 1606320
6752123 3957929
7094626 3364555
9257759 2095569
6706270 934052
9211317 3288923
6775226 3290794
7681707 3751291
7683462 3751181
6893926 441205
9222925 3288231
5071911 3958232
9173277 4559788
935919 3213147
1863263 3011302
9208794 190563
6845854 2966077
6843658 3575265
9300382 3217839
7589436 3051865
9300458 3304184
7043739 4560156
9177340 3498957
7588981 3665557
7663740 3751469
9298887 3364437
9268096 3576033
5302398 3958062
6784064 4531964
9130397 3287791
6714127 3957945
9300230 2697137
2940583 3751629
6795105 3011869
9184165 3092705
7646828 3051794
7739266 3667066
9137295 3024763
7668996 3092353
6813262 3012239
6788035 2941354
7753587 2987312
6752695 3364528
4000176 3528326
7641515 4296070
7123702 3260123
9265740 3575878
9268392 2851456
9299306 3497543
9289386 3287610
7075638 4459019
6848481 3364210
1839825 1124419
9143815 3092495
7125035 3260957
804257 3205074
7083626 3221622
7619955 2915313
9133043 3496500
7721611 3092273
7157549 4459287
9284302 305078
7629681 3092340
7107653 3260831
7740445 831789
6763839 3894637
7160182 2915277
9300789 3093112
7165996 2845146
9132599 3576055
7671899 4296055
9297782 1413109
9288456 3093106
6846290 3875382
7751958 3092650
7686180 814203
7731163 831523
7631279 141382
8050726 3288499
9198142 3496383
9133546 3012053
9298967 3575588
7662151 3242956
6731616 3957337
7698660 3092844
6849012 3011569
7045714 3260196
9303866 3052548
7099719 3510303
7786094 831926
9299689 4458737
7598163 3052123
9240490 3495224
7587724 3670179
6812268 3011125
6766767 3957891
7654639 831755
6783457 3334806
7156919 3112597
7658232 3052218
9272663 3213181
7588328 1638631
9171902 3093198
7629145 3671992
7147625 2845594
6780535 2981792
9293947 3575869
9140880 3575503
677412 3290870
677412 3187892
7166575 3260313
6771293 3284234
9190569 3494109
2346465 3092502
7750466 3052434
94296 3185230
9250069 3579115
9235291 3575604
6830914 3871640
5811915 3575837
6776414 2942343
9174690 2675779
9298567 3499335
4381295 3364921
550054 1716009
9277935 3031907
9275421 960939
9219985 2914832
7154747 4560039
9135159 3873595
2832077 3011727
7654879 831785
9186629 3215190
3379797 3908257
9209042 3506149
7749873 785034
7062131 4560208
7594805 3052415
6848253 3919172
9142540 3288382
6798193 2915603
7151553 3364821
6849842 3012124
7692905 3092908
9212961 3260580
6496275 542508
7722579 3052093
6817879 3958096
3558295 1502526
7727976 3093248
9193056 3286027
7593751 4286191
7112583 2914839
2871070 3260133
7083520 2915586
9176740 3575999
6855745 2850139
7632696 3664762
9131283 3288468
9130242 3226637
1132131 2849671
7691312 3059202
7751799 3093372
6713909 2297131
6817887 3957999
6846301 3011289
9299690 972351
6815508 3873837
9139897 3012215
7165537 3261030
7098869 3187052
7713359 3751070
369788 3187082
7159647 3039646
6792891 2942491
9163943 3364928
9300387 3011476
6760108 8168768
7646372 3019523
7644782 3052413
7687339 3750983
9176017 3287915
7624491 3722524
